review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R2IN9R1FGU6M3G,3,0,0,N,N
RDT7N1NC114JD,5,1,1,N,Y
R9DX9N45J8AIQ,5,0,0,N,Y
R3N4NW4161ZVGL,5,0,0,N,Y
R60EN5LY9KKJE,5,2,2,N,Y
RCKO14ZXMY79X,5,0,0,N,Y
RR4OMY7TQVAN2,5,0,0,N,Y
RYFLTZQ4AKFM5,5,0,0,N,Y
R2JX4DV6KMPCFX,5,0,0,N,Y
R2G3G7RIQHQY6J,3,0,0,N,Y
R1BIFVKMZQPGDC,5,8,9,Y,N
R1W4M3PD5YZFKE,5,0,0,N,Y
R3F8NBI5D6U4X8,5,0,0,N,Y
R1982EUA1H9DTW,5,3,3,N,N
R30WO3JJVRP3ED,5,0,0,N,Y
R30O4A31BXFIWS,5,0,0,N,Y
RY2PUX03MKQH4,5,0,0,N,Y
R15BIARTDU4UHI,5,1,2,N,Y
R1DTJ1N1T7S10A,5,0,0,N,Y
R1MNNT3F6K37D0,3,0,0,N,Y
R39PWO1S77DDWH,5,8,8,N,Y
R9ZS279TTNI1J,4,0,0,N,Y
R2Y907P09QEZ34,2,2,3,N,Y
R1FQFMVKNEW6OO,5,0,0,N,Y
R2U3J6W159EGU2,2,0,0,N,Y
R2ECEOCS2NPZUC,5,0,0,N,Y
R2TJ5A89GHSEW3,5,0,0,N,Y
RQWAMLKQAZCWQ,5,0,0,N,Y
R345I9XSEM4DUK,1,0,0,N,Y
R19OQYUZRPYETL,4,4,6,N,Y
R2GYK0NH57ZMHG,3,0,0,N,Y
R2ZTI2ZBSD1RIQ,4,0,0,N,Y
R1VM75UAIEX70H,1,0,0,N,N
R20X23XIMXB6DY,2,1,1,N,Y
R226CQCPGHWMDQ,5,0,0,N,Y
R13WBL8I2C7460,5,0,0,N,Y
R3VRA2QYUN6E7T,5,0,0,N,Y
R3NORKISMKCP04,5,0,0,N,Y
R21ZAJRM2GJ2YQ,5,0,0,N,Y
R1BRDPBY80D483,2,0,0,N,Y
R3FYNBUKNN2BS3,5,0,0,N,Y
ROLRSGQA2US44,5,4,5,N,Y
R1TT3IM0H295JZ,4,0,0,N,Y
R1G0RWAYSOJ0B5,5,0,0,N,Y
R3HWWLELDN1TLQ,1,0,1,N,Y
R14UI47X79ZBIG,5,0,0,N,Y
R1JHFYWEI65P4R,1,0,0,N,Y
R2KPWEWNAV54MW,5,0,0,N,Y
R21AMA04G8S0V2,4,0,0,N,Y
R27HM5UNLZY1W0,5,2,2,N,N
RR2XGPJ0J4F0A,5,0,0,N,Y
R3OK6OF37KLZEQ,5,0,0,N,Y
R3CQWZ2BO9NCDS,3,0,0,N,Y
RGC2TLSBHLPZA,5,49,50,N,Y
RN79490N9MWYC,5,0,0,N,Y
R302VB2NPQ2UID,5,0,2,N,Y
R15JUY124G0TPR,1,0,0,N,Y
R3GX3C9Z9Z6551,5,2,2,N,Y
R3BONZDLL1EU13,5,0,0,N,Y
R38K2XAM16QT20,5,0,0,N,Y
R4CP9CIHGG8QK,5,0,1,N,Y
RNMXCCQF3NJS8,5,0,0,N,Y
R2VTVDVIPCAGZZ,4,0,1,N,Y
R1NXDPW9KF1ALR,3,0,2,N,Y
R2PAN952679L5U,5,0,0,N,Y
RBJFO7AGL0HR2,5,0,0,N,Y
R340POL746OAOX,5,0,0,N,Y
R33QL4378ZKN4B,1,0,1,N,Y
R113I26TFZI95M,5,0,0,N,N
R342RE6HX1LWAU,5,1,1,N,Y
R318C3W3PKTF97,5,0,0,N,Y
R2SNY1GJWK5W78,5,0,0,N,Y
R11C4TGK3ZUES2,4,0,0,N,Y
R1H9Q4IMVA6LUZ,5,0,0,N,Y
R22M79WJWBOJW2,3,0,0,N,Y
R2OL1LSX10I1C1,5,0,0,N,Y
R28X9QACUMY0XP,4,0,0,N,Y
R1RNYLWGHDLG3U,4,0,0,N,Y
R3E4SK238869IO,4,0,0,N,Y
R1945Y1TQTMTDZ,5,0,0,N,Y
R1IKJ63LXK4DB2,5,1,1,N,Y
R1O41K4GT3C6T0,4,0,0,N,Y
R2QWXWR22IQ5X1,3,2,3,N,Y
R1O880V3FKHX61,5,0,0,N,Y
R2TLIHN4XPL9FT,5,0,0,N,Y
R14GOQC5YZN7HW,5,1,1,N,N
RH3KJAZEWOSIA,5,0,0,N,Y
RPZCW2L411RBD,5,0,0,N,Y
R1ZAG9E3B1JMGR,4,0,0,N,Y
RF0T33TDV0AFL,5,0,0,N,Y
R3F60EQEFO6H2P,2,0,7,N,Y
R1S8UMOYC93LUM,5,0,0,N,Y
R11SCV7R3H9S06,5,0,0,N,Y
RGY46ZRLXXLMO,5,0,0,N,Y
RL8VXWP5MXQHA,3,0,0,N,N
R3II6M66S8BJ6F,5,0,0,N,Y
R7GRDL9SFYWVS,5,0,0,N,Y
R27Q7UJSEQZNRD,5,0,0,N,Y
R3M9HHFOQSHGGI,3,1,3,N,Y
R2OFEZCQGBELBN,5,1,2,N,Y
R1YTLMJ2HUATF1,5,3,4,N,Y
R2YYVOW2RYGRM8,5,27,28,N,Y
R2Y0363V37C709,5,2,2,N,Y
R3SRG5IT4P2RJ5,5,0,0,N,Y
RYQ1BDR0HW5V8,4,0,0,N,Y
R31U43PHGRP34Y,4,0,0,N,Y
R33NRZORPF5LXO,5,0,0,N,Y
R1L2UTZMN35K3C,5,0,0,N,Y
R1FY7Z1EKOSFVK,5,0,0,N,Y
R2WOWYNH0JAESB,5,0,0,N,Y
RKXSKFPGP87U7,5,0,0,N,Y
R2VIRSMZDWKY38,5,0,0,N,Y
R133HKWWQMLAS0,5,1,1,N,N
R1FU8R5B0Z5SVA,5,0,0,N,Y
R30K9E5UTK2B2Y,5,0,0,N,Y
R2AAT5MQIAMB6Y,2,0,2,N,Y
R1BVVG9AO0QBK6,5,1,1,N,Y
R2JKWW7XGII84A,5,0,0,N,Y
RTV5RH9ZKW04X,2,0,0,N,Y
R3QTCJHILUCHYS,3,2,3,N,Y
R3QW2CVJ9Q1JQC,1,8,9,N,Y
R1X7YZ3E32M53P,5,0,1,N,Y
R1KEMLLIU4KRT3,5,1,1,N,Y
R19VW65KRZMTTW,5,1,2,N,Y
R29KOKQ1B34BA7,5,0,0,N,Y
R3VK0IEA4GQB0B,5,1,1,N,Y
R1Z1XQMXL28BSY,5,1,1,N,Y
R15IKRSUMOGPSN,1,2,6,N,Y
R5IXNXD43ZLJX,1,0,1,N,Y
RCW0TO0XB0GME,3,0,0,N,Y
RA9LBMJZU11UT,3,1,1,N,Y
R22GCRP2LE410L,4,0,0,N,Y
R1WXOITHYD9OKX,1,0,0,N,Y
RAFA9VBZ7Q7AC,4,6,12,N,N
R2TPPSKOE07625,5,0,0,N,Y
RN9TYAWLYQEPL,4,1,1,N,Y
R10Q0EHIHBJZVE,5,0,0,N,Y
R3F5GKUC9RWKKQ,5,1,2,N,Y
R3UU4KHN3L1265,5,2,2,N,N
R2YXKZXBHK7YBO,1,0,0,N,N
R3S4NTDID6EDGN,4,0,1,N,Y
R9BQNG6F98PIU,5,1,1,N,Y
R1OECFARE9JPMK,5,0,0,N,Y
R212BZGI59JZPU,5,0,0,N,Y
R1MBXSMZONSGQO,3,0,0,N,N
R2M2LHO3SDGFQD,1,0,0,N,Y
RV53Q1AJ2XR5S,4,0,0,N,Y
R2TJYWQV8FK9V0,3,0,1,N,Y
R2VCPDAQOESDM7,5,0,0,N,N
R2SHL40A039XYW,5,0,0,N,Y
R2FT0L3J3JVF6H,5,0,0,N,Y
R2HN0AEBDRRJOP,2,0,0,N,Y
R1YMGD5HDYX9VN,3,0,0,N,Y
R23JRZWC72RFT5,5,2,2,N,N
RZRBFLLCCVK45,5,1,1,N,Y
R66PGYFHLZPYM,1,1,1,N,Y
R3MK31HWNYOIZ,1,0,0,N,Y
R3AUZTHYZIKAG4,5,0,0,N,Y
R2YWW6MRQUOS6I,2,2,2,N,Y
RVJ3M03QIXCOV,2,0,0,N,Y
R3HEEZ09DYPP02,5,0,0,N,Y
RXG3GJKZ82O70,5,0,0,N,Y
R2X4WF89XICSB2,1,21,21,N,Y
R1CEZSJ1FNZOIC,3,1,2,N,Y
RGWUZ0I5P35ND,5,0,0,N,Y
REHHT7IGSITTZ,5,0,0,N,Y
R3FK975F90LFWJ,5,0,0,N,N
RJZI53OB2L0LJ,5,0,0,N,Y
RDGJMZ7VWT0J8,4,0,0,N,Y
R1KRDWVT5O5LP9,1,0,0,N,Y
RGE4Q6JWWVLV4,5,0,0,N,Y
R1GND3PETZRHYK,3,0,0,N,Y
R6U0I3HHCANEA,5,1,1,N,Y
RS0BRNC5N301M,5,1,1,N,Y
R2PVSLJMEE01CG,5,0,1,N,Y
R1H6FEWV448IJR,5,0,0,N,Y
R8XEBJCYWZWPS,5,0,0,N,Y
R2HV3CLM5I53AJ,4,0,0,N,N
R2G3DNPVSGJKKR,5,0,0,N,Y
R34I19FNZSJV9W,5,0,0,N,Y
R5D18UMDW6EX4,4,0,0,N,N
R1C0W9246O8PY3,4,0,1,N,Y
R31318FUO1FD6Y,4,3,4,N,Y
R36KLZ1LN6HEA2,5,0,0,N,Y
R34O93XM8NQVTU,4,0,0,N,Y
RRHVJWP6D72A1,5,0,0,N,Y
R3SVJY2E4LQI5,5,0,1,N,Y
R2EDC8COMMC6AC,4,5,6,N,Y
R2EONVW3U3DTWN,5,1,1,N,Y
R1MYZTXM68NCEV,5,0,0,N,Y
R1Y4UPOKZ0AMMT,2,1,1,N,Y
R366HT5QRS1NK7,5,0,0,N,Y
R1PT442RF46WSK,5,0,0,N,Y
RPRIQRA4EZ86O,5,0,0,N,Y
R3NKD0XOQE7L9M,5,0,0,N,Y
R2YP7ODZAKNVPY,4,0,0,N,Y
R1ZKJSAHKUC06S,4,0,0,N,Y
R2QPNCTXFE66AV,5,5,5,N,N
R2LPECVJC7V12P,5,1,1,N,N
R1MRF7FUFDF1LK,5,0,0,N,Y
RQH55KLT5PB3,2,0,0,N,Y
R59HLJTRRFFO7,1,1,1,N,Y
RS5GAPMEEOG51,5,2,2,N,Y
R7Y7UBNU4JQ2O,4,0,0,N,Y
R8Y8KRQ2FZ1SA,5,0,0,N,Y
R1N0ACV9V5FT5M,3,0,0,N,Y
R2HJODKNURN2C7,5,1,1,N,Y
RT5F0TF4J1G73,2,0,0,N,Y
R2OR8JJZURJVJ4,5,0,0,N,Y
R2BZ41PVM3JE92,5,0,0,N,Y
R2S23V6U92Q8J,3,0,0,N,Y
R3TD9NYH3WMOK6,5,0,0,N,Y
ROP5KLOWKHBWM,5,13,13,N,Y
R3J2VH5DEU88SP,3,2,3,N,Y
R1Z8JVUINKZB9V,5,0,0,N,Y
R1O1ZZSXLKYM0R,5,1,1,N,Y
R20HH5EG9PVWMF,1,0,10,N,Y
R1NT56MEO9N3H7,5,0,0,N,Y
R13P8SF480137P,5,0,0,N,Y
R10YKG6BU4XHPW,1,0,4,N,Y
R1NI8MWGUZ0PVA,5,0,0,N,Y
R33M43J477DR7H,3,0,0,N,Y
R35E49JZWFJDBK,5,1,1,Y,N
R34NDX1F801E5,4,1,1,N,Y
R3TS0H7BQ87FNN,4,0,0,N,Y
R2P993H0FN1TVN,2,0,0,N,Y
R3784A2OVHSU07,5,0,0,N,Y
R1AR8KC6WN4ZNW,4,1,1,N,Y
R33VH49Y1ENYMY,4,0,0,N,Y
R1GBQVLD8FN4YO,5,1,1,N,Y
R3VLQ9YRNSINPV,4,0,0,N,Y
ROS0SAZECFJHE,5,1,1,N,Y
R3HBSBGNNXCC70,2,4,4,N,Y
R3D43Y4MGJ8MLN,4,1,1,N,N
R369UUFEJRD6LK,5,1,1,N,Y
R9FJKIXY8QOO9,1,2,13,N,N
R2CVKUBZZ1BA4H,5,3,4,N,Y
R2OEZR1QR5JUU8,3,0,0,N,Y
R2709LTO0QEXXQ,2,1,1,N,Y
R23TZA3HD47CE1,5,1,1,N,Y
R1K36GS6H2YIEJ,5,2,2,N,N
R3Q0KW3ICVV86Y,5,0,0,N,Y
R1PB73Q3G2Y7HE,5,0,0,N,Y
R3DI3FH48KIRFE,5,0,2,N,Y
R6MYUZY853K6Q,2,0,0,N,Y
R1ERPTTL1QTR51,5,0,0,N,Y
R1TTPN3YFAQ1WR,2,4,4,N,Y
R127PSYJKJS1OK,5,0,1,N,Y
R2QHXHY8F5F1XB,2,0,0,N,Y
R2GO36S4EJK8FD,5,0,0,N,Y
R1SFDV35HABPWS,2,0,0,N,Y
R3T58ZBEKHR9CG,3,0,0,N,Y
RRUJCT6EFITLO,5,0,0,N,Y
R27DZJB58TZIAG,4,0,0,N,Y
R2O18B6T4107JL,5,0,0,N,Y
R11JU2QWKPBVRK,5,0,0,N,Y
R1XM5OL28MNPUZ,5,0,1,N,Y
R2BJVJ8JPOVH79,2,2,2,N,Y
R3KAKKW4LEHKWN,1,1,2,N,N
RF1GJAP7MDB3H,5,0,0,N,Y
R2XTFH84CX5AZU,5,3,3,N,Y
RXS7OETA1DOO8,3,0,0,N,Y
R2C3ZK3RWKRLMF,2,0,0,N,N
R3ANJTT409V9LD,5,0,0,N,Y
RNJC0QQ0MQCXT,1,1,1,N,Y
R3MC9QZRUAHHQ,3,0,0,N,Y
R1BHX8XQWIT5L3,5,0,0,N,Y
R3SMSB2VA2UM85,5,0,0,N,Y
R323KFCDW5TEOX,5,0,0,N,N
R21T77V9ROIGNP,1,0,0,N,N
R3LPRDNCB1YSG5,5,0,0,N,N
R3JK041E2AX5IB,2,0,1,N,Y
R3JPXWE14SWGWL,5,0,0,N,Y
R3SN0TXCI6I84D,1,0,2,N,Y
RZ5RVGAN45KZK,5,0,0,N,Y
R1SLOXT25FK21Y,1,1,2,N,Y
R2R2SBN5E4E8FE,5,0,1,N,Y
R3LXGJ22LQGWV,5,0,1,N,N
R3HJFFHT6AVCWK,5,0,0,N,Y
R1N46KP4ZLKBWM,5,0,1,N,Y
R2MIG1EW06QC0C,4,0,0,N,Y
R2WSGG8EF41BB1,5,2,2,N,Y
RLKWEE1CCQHNQ,3,0,0,N,Y
R368OTOV8LF1P3,5,1,1,N,Y
R8E4Z9A36ECK5,5,1,1,N,N
R1ABHQ9IEBRGHQ,1,2,3,N,Y
R2S9GV3RXW3X3P,5,1,1,N,Y
RANIE9ILWUL8J,5,0,0,N,Y
RXBYDX5EOZAZ8,4,0,0,N,Y
R2QSWHUJVNH0D,3,0,0,N,Y
R22LBDCBHK3W6C,1,0,0,N,Y
R2V83992610J0V,5,2,2,N,Y
RZRKXCCX3IL78,5,0,0,N,Y
R353PNDR829R5V,5,0,0,N,Y
R2EKWTMPLWBUB2,5,1,1,N,Y
R2OPIZ7Z5NYJJ7,5,0,0,N,Y
R242IIWNLT5Q2M,5,0,0,N,Y
R2LZDP1XFEHUFG,5,0,0,N,Y
R1ZSZXFX4ZL9OB,5,1,1,N,Y
R2EN5UPZOA7HYM,5,0,1,N,N
RRN4Q2YPRKKT2,5,0,1,N,Y
R25DMVJVQ43ZE9,5,0,0,N,Y
RKPQ4XGP2GUSP,3,1,1,N,Y
R3FB5DQN6TO9AL,5,0,0,N,Y
R1AMXKZIYLI3XL,5,0,0,N,N
R2PSW5Z73H8PZF,5,1,1,N,Y
R1UY9DSVJ1W8P2,5,1,1,N,N
RBL23CW1U8M1K,4,0,0,N,Y
